name,value,change,close
 INDU:IND ,"24,824.01",+104.79,1/2/2018
 SPX:IND ,"2,695.81",+0.42%,1/2/2018
 CCMP:IND ,"7,006.90",+2.44%,1/2/2018
 NYA:IND ,"12,902.72",+24.86%,1/2/2018
 SPTSX:IND ,"16,309.99",+22.20,1/2/2018
 SX5E:IND ,"3,490.19",+0.83%,1/2/2018
 UKX:IND ,"7,648.10",+2.03%,1/2/2018
 DAX:IND ,"12,871.39",+19.40%,1/2/2018
 CAC:IND ,"5,288.60",+103.51,1/2/2018
 IBEX:IND ,"10,079.10",+1.50%,1/2/2018
 NKY:IND ,"22,764.94",+2.33%,12/29/2017
 TPX:IND ,"1,817.56",+29.06%,12/29/2017
 HSI:IND ,"30,615.75",+93.88,1/2/2018
 SHSZ300:IND ,"4,138.19",+0.73%,1/2/2018
 AS51:IND ,"6,072.20",+2.28%,12:06 AM
 MXAP:IND ,175.55,+15.67%,1/2/2018
